title,price,location,district,link
2-комнатная квартира · 52 м² · 3/10 этаж,21 500 000 〒,Сатпаева 12/5,,https://krisha.kz/a/show/1000375817
2-комнатная квартира · 53 м² · 1/10 этаж,13 000 000 〒,Машхур жусупа 52 — Центр,,https://krisha.kz/a/show/1000331548
2-комнатная квартира · 50.6 м² · 2/9 этаж,16 500 000 〒,Мухтар Ауезова 61 — Пересечение Абая,,https://krisha.kz/a/show/1000184080
3-комнатная квартира · 54.7 м² · 5/5 этаж,10 500 000 〒,М.Жусупа 126,,https://krisha.kz/a/show/761802541
1-комнатная квартира · 36 м² · 1/5 этаж,7 500 000 〒,Кошербаева 60а,,https://krisha.kz/a/show/1000215706
3-комнатная квартира · 60 м² · 2/5 этаж,18 000 000 〒,А.Молдагулова 48б,,https://krisha.kz/a/show/1000277739
3-комнатная квартира · 78 м² · 3/5 этаж,22 000 000 〒,Энергетиков — Акимат,,https://krisha.kz/a/show/697223165
4-комнатная квартира · 78 м² · 3/5 этаж,19 500 000 〒,М.Жусупа 71 — 6 мик возле маг. ДОСТЫК,,https://krisha.kz/a/show/677978715
3-комнатная квартира · 65.4 м² · 4/5 этаж,22 000 000 〒,Машхур Жусупа 55 — Остановка Казахстан,,https://krisha.kz/a/show/696858734
2-комнатная квартира · 48 м² · 5/5 этаж,8 000 000 〒,Ломоносова 11/а,,https://krisha.kz/a/show/1000429577
1-комнатная квартира · 36 м² · 3/5 этаж,9 000 000 〒,Ак Марденова 21,,https://krisha.kz/a/show/698012764
2-комнатная квартира · 50 м²,16 000 000 〒,Машхур Жусупа 47,,https://krisha.kz/a/show/760937717
3-комнатная квартира · 72.3 м² · 9/9 этаж,28 000 000 〒,Ауезова 21 — М.жусупа-ауезова,,https://krisha.kz/a/show/1000429540
2-комнатная квартира · 44 м² · 3/5 этаж,10 500 000 〒,"Энергетиков 73 — Школа 9, 11.",11.,https://krisha.kz/a/show/760305914
2-комнатная квартира · 51.1 м² · 9/9 этаж,16 000 000 〒,Шешембекова 17а — Торайгырова,,https://krisha.kz/a/show/762275172
3-комнатная квартира · 62.2 м² · 3/5 этаж,17 500 000 〒,Абая 39 — Центр Ауэзова-Абая,,https://krisha.kz/a/show/696918479
2-комнатная квартира · 44 м² · 5/5 этаж,8 500 000 〒,Марденова 11,,https://krisha.kz/a/show/678680697
3-комнатная квартира · 58 м² · 4/5 этаж,17 500 000 〒,Беркимбаева 101/3,,https://krisha.kz/a/show/693237879
2-комнатная квартира · 48 м² · 4/5 этаж,9 500 000 〒,Абай 160б,,https://krisha.kz/a/show/762058253
